A,C,P,B,L,R,LA
3,8,78,23.6413,131.4,1.0,29
3,8,81,22.2021,170.2,1.0,30
3,8,84,31.1494,170.6,1.0,31
3,8,90,43.4814,300.2,1.0,32
2,1,60,14.1481,295.139,0.7,33
2,1,66,16.1007,230.4,0.84,34
2,1,78,18.0239,124.306,0.94,35
2,1,81,18.0109,152.4,0.94,36
2,1,87,18.2037,120.8,1.0,37
2,1,90,20.7834,214.933,0.92,38
2,2,60,12.2184,215.133,0.82,39
2,2,66,16.0974,253.733,0.8,40
2,2,78,17.9914,163.533,0.88,41
2,2,84,24.3395,108.667,0.96,42
2,2,87,18.5665,133.333,0.9,43
2,2,90,27.801,141.2,1.0,44
2,3,60,18.0467,125.933,0.92,45
2,3,84,19.0334,164.933,0.92,46
2,3,87,23.0369,137.067,0.96,47
2,3,90,25.8647,140.8,1.0,48
2,4,81,18.2005,187.067,0.86,49
2,4,84,23.0987,124.933,0.98,50
2,4,87,31.8077,154.83,0.96,51
2,4,90,34.2141,216.667,0.92,52
2,5,87,34.2304,162.0,0.94,53
2,5,90,41.3855,165.333,0.98,54
2,6,84,26.942,182.0,0.88,55
2,6,87,31.9118,143.733,0.98,56
2,6,90,40.514,192.667,0.96,57
2,7,84,29.1727,294.933,0.8,58
2,7,87,32.2714,180.6,0.94,59
2,7,90,38.921,216.667,0.96,60
2,8,75,18.377,196.867,0.84,61
2,8,78,22.6741,143.733,0.92,62
2,8,81,21.3064,331.4,0.76,63
2,8,84,30.048,185.533,0.92,64
2,8,90,41.7455,260.4,0.94,65
1,1,60,6.8727,1340.78,0.26,66
1,1,66,10.7973,1478.57,0.42,67
1,1,78,10.8396,356.667,0.62,68
1,1,81,8.9749,223.333,0.78,69
1,1,90,11.169,427.347,0.6,70
1,2,66,8.8838,553.401,0.52,71
1,2,84,10.8624,343.333,0.66,72
1,2,90,13.4738,323.333,0.74,73
1,3,60,10.8364,396.667,0.62,74
1,3,84,11.1625,300.0,0.74,75
1,3,87,9.2718,273.333,0.74,76
1,3,90,13.4607,336.667,0.7,77
1,4,84,9.2751,273.333,0.74,78
1,4,87,13.4965,216.667,0.82,79
1,4,90,15.7687,173.333,0.88,80
1,5,87,17.5911,320.0,0.68,81
1,5,90,19.8308,290.0,0.74,82
1,6,84,13.076,740.272,0.56,83
1,6,87,17.6302,306.667,0.74,84
1,6,90,18.1589,406.667,0.64,85
1,7,87,15.7492,202.449,0.82,86
1,8,78,9.2262,380.0,0.62,87
3,1,60,14.9844,221.267,0.9,0
3,1,66,16.8263,165.133,0.98,1
3,1,78,18.7137,152.2,1.0,2
3,1,81,18.7105,150.6,1.0,3
3,1,87,18.8642,160.6,1.0,4
3,1,90,21.6855,210.6,1.0,5
3,2,60,13.0709,113.0,1.0,6
3,2,66,16.8295,134.533,0.98,7
3,2,78,18.7072,110.4,1.0,8
3,2,84,25.0228,110.8,1.0,9
3,2,87,19.2368,120.2,1.0,10
3,2,90,28.8308,200.4,1.0,11
3,3,60,18.7105,111.8,1.0,12
3,3,81,20.6142,100.6,1.0,13
3,3,84,19.9388,160.8,1.0,14
3,3,87,23.9586,161.0,1.0,15
3,3,90,26.9043,200.8,1.0,16
3,4,81,18.874,120.8,1.0,17
3,4,84,23.9325,161.4,1.0,18
3,4,87,32.8473,200.8,1.0,19
3,4,90,35.466,221.2,1.0,20
3,5,87,35.4726,181.0,1.0,21
3,5,90,42.7846,220.4,1.0,22
3,6,84,27.7953,140.6,1.0,23
3,6,87,33.2093,180.6,1.0,24
3,6,90,42.0864,240.0,1.0,25
3,7,84,30.0781,170.4,1.0,26
3,7,87,33.5363,190.4,1.0,27
3,7,90,40.5324,260.0,1.0,28
3,8,78,23.6511,131.4,1.0,29
3,8,81,22.2248,171.8,1.0,30
3,8,84,31.1461,170.6,1.0,31
3,8,90,43.4814,300.0,1.0,32
2,1,60,14.1547,455.85,0.66,33
2,1,66,16.1104,244.133,0.82,34
2,1,78,17.9881,150.4,0.94,35
2,1,81,18.0044,151.2,0.94,36
2,1,87,18.2167,160.8,0.96,37
2,1,90,20.8029,160.8,1.0,38
2,2,60,12.2216,121.0,0.94,39
2,2,66,16.0681,173.533,0.86,40
2,2,78,18.0012,177.267,0.86,41
2,2,84,24.2777,147.467,0.9,42
2,2,87,18.573,158.267,0.9,43
2,2,90,27.7619,168.267,0.96,44
2,3,60,18.0988,165.733,0.86,45
2,3,84,19.0529,124.533,0.98,46
2,3,87,23.0467,163.733,0.94,47
2,3,90,25.8842,182.0,0.94,48
2,4,81,18.1679,120.8,0.94,49
2,4,84,23.0434,150.0,0.94,50
2,4,87,31.811,194.533,0.92,51
2,4,90,34.2402,150.4,1.0,52
2,5,87,34.2499,164.8,0.94,53
2,5,90,41.3724,191.2,0.94,54
2,6,84,26.929,180.4,0.9,55
2,6,87,31.9313,158.067,0.96,56
2,6,90,40.514,175.933,0.98,57
2,7,84,29.2378,162.4,0.94,58
2,7,87,32.3169,167.667,0.96,59
2,7,90,38.895,256.667,0.92,60
2,8,75,18.4225,157.467,0.9,61
2,8,78,22.7164,143.733,0.92,62
2,8,81,21.378,185.133,0.92,63
2,8,84,30.074,224.533,0.88,64
2,8,90,41.739,250.694,0.92,65
1,1,60,6.9085,1661.11,0.36,66
1,1,66,10.7225,1008.33,0.34,67
1,1,78,10.8656,516.667,0.6,68
1,1,81,8.9651,294.898,0.72,69
1,1,90,11.1951,326.667,0.7,70
1,2,66,8.9066,508.333,0.62,71
1,2,84,10.8331,330.0,0.66,72
1,2,90,13.4607,256.667,0.76,73
1,3,60,10.8103,458.163,0.56,74
1,3,84,11.1463,353.333,0.66,75
1,3,87,9.2262,318.503,0.66,76
1,3,90,13.4998,190.0,0.82,77
1,4,84,9.3336,223.265,0.8,78
1,4,87,13.5063,233.265,0.8,79
1,4,90,15.7037,240.0,0.78,80
1,5,87,17.6269,253.333,0.78,81
1,5,90,19.8275,410.0,0.68,82
1,6,84,13.063,420.0,0.64,83
1,6,87,17.6627,284.082,0.74,84
1,6,90,18.2923,236.054,0.8,85
1,7,87,15.7427,373.333,0.78,86
1,8,78,9.2555,380.0,0.68,87
